Edges,RuntimeInSeconds
6259,6.8731
6259,6.8186
6259,6.9507
6259,6.785
6259,6.8711
6259,6.9723
6259,6.9402
6259,6.9753
6567,11.3495
6567,11.4654
6567,11.5323
6567,11.3088
6567,8.857
6567,11.8176
6567,11.2295
6567,11.544
6567,11.516
6567,11.3681
6813,8.0186
6813,7.8716
6813,7.9752
6813,4.958
6813,7.8735
6813,7.8816
6813,4.9701
6813,8.0499
6813,8.0246
6813,7.9721
7210,9.7755
7210,9.8165
7210,9.8255
7210,9.8301
7210,9.8167
7210,10.0127
7210,9.78
7210,10.024
7210,9.9296
7210,9.7731
7366,18.4396
7366,18.9028
7366,18.6995
7366,17.7741
7366,18.4456
7366,18.5381
7366,18.7593
7366,18.3166
7366,17.9783
7366,18.6821
7561,11.9152
7561,11.8235
7561,11.5452
7561,11.6476
7561,12.1118
7561,12.0595
7561,11.9596
7561,11.8311
7561,11.842
7561,11.8465
8094,9.5016
8094,9.567
8094,9.5926
8094,9.2985
8094,9.456
8094,9.5725
8094,9.5051
8094,9.4428
8094,9.4103
8094,9.5959
8584,22.1822
8584,22.3885
8584,21.6821
8584,21.6213
8584,20.9317
8584,22.0419
8584,22.2289
8584,21.6016
8584,21.181
8584,21.7413
8730,11.7235
8730,11.7771
8730,11.8415
8730,11.4624
8730,11.8016
8730,11.7035
8730,11.5445
8730,11.7434
8730,11.5884
8730,11.7086
8895,8.4207
8895,8.2753
8895,5.2986
8895,8.2522
8895,8.307
8895,5.285
8895,8.259
8895,8.2357
8895,8.2512
8895,8.3773
9236,12.8622
9236,12.9661
9236,12.8882
9236,12.7769
9236,13.0977
9236,12.8494
9236,12.9647
9236,13.1134
9236,12.9653
9236,13.1031
9509,22.5422
9509,22.5522
9509,22.7029
9509,22.3637
9509,22.1257
9509,22.5708
9509,22.0107
9509,22.0959
9509,22.1524
9509,21.6646
9901,7.5689
9901,7.5632
9901,4.5991
9901,4.6036
9901,7.542
9901,4.5211
9901,4.5003
9901,7.5663
9901,4.5974
9901,4.5963
10042,11.4398
10042,11.3537
10042,10.9188
10042,8.0467
10042,11.0398
10042,8.1042
10042,11.2566
10042,8.1737
10042,11.401
10042,11.1257
10412,9.2572
10412,9.4076
10412,9.4225
10412,9.3318
10412,9.5615
10412,9.4855
10412,9.4439
10412,6.3652
10412,9.4906
10412,9.3542
10781,23.0067
10781,22.9544
10781,22.8216
10781,23.7939
10781,23.3997
10781,23.24
10781,22.5708
10781,22.9369
10781,23.2483
10781,22.9955
10916,24.4245
10916,24.0387
10916,24.3093
10916,24.4075
10916,24.2012
10916,24.2202
10916,24.625
10916,24.4785
10916,24.6513
10916,24.2871
11370,20.0137
11370,20.2419
11370,20.3709
11370,19.6318
11370,19.9082
11370,19.9
11370,20.0594
11370,19.9324
11370,19.4733
11370,19.8876
11686,9.8144
11686,9.9936
11686,9.9315
11686,9.8548
11686,9.8042
11686,10.023
11686,9.9405
11686,9.939
11686,9.9289
11686,9.8619
11949,10.0343
11949,9.8692
11949,9.9954
11949,9.7413
11949,9.9038
11949,10.0325
11949,10.055
11949,6.8522
11949,9.8371
11949,9.95
29117,40.9174
29117,33.2384
29117,40.0437
29117,39.6988
29117,37.9965
29117,36.4609
29117,30.3355
29117,31.2233
29117,38.1826
29117,40.1902
29268,52.3391
29268,51.5754
29268,53.8286
29268,54.6233
29268,47.2374
29268,61.4582
29268,60.7787
29268,56.3993
29268,50.0283
29268,59.456
29193,70.3497
29193,67.4822
29193,68.4426
29193,65.5231
29193,64.9544
29193,61.2437
29193,67.9384
29193,71.3866
29193,65.8993
29193,73.9088
29644,80.9307
29644,79.9646
29644,86.8027
29644,83.0614
29644,87.3021
29644,87.2023
29644,79.8417
29644,82.7292
29644,91.9401
29644,84.8737
30435,85.8076
30435,84.8178
30435,86.604
30435,88.4636
30435,85.9168
30435,83.9688
30435,83.8626
30435,87.565
30435,87.6795
30435,88.3806
24292,42.2603
24292,40.0361
24292,41.6978
24292,41.4848
24292,40.795
24292,42.2179
24292,41.5338
24292,44.2084
24292,43.6891
24292,43.4298
24560,11.5124
24560,11.2517
24560,11.4531
24560,11.5021
24560,11.5506
24560,11.7061
24560,11.5424
24560,11.5421
24560,11.6952
24560,11.5038
24943,71.9311
24943,70.1312
24943,70.6964
24943,67.309
24943,69.4
24943,67.0175
24943,70.0568
24943,69.9226
24943,70.991
24943,70.6438
25386,59.3584
25386,60.2223
25386,59.1186
25386,60.3085
25386,61.4049
25386,60.462
25386,59.6109
25386,58.285
