1.0e-2 0.01 0.0e0 0.0e0
2.0e-2 0.01 3.1064e0 3.1064e0
3.0e-2 0.01 4.9237e0 4.9237e0
4.0e-2 0.01 6.2128e0 6.2128e0
5.0e-2 0.01 7.2131e0 7.2131e0
6.0e-2 0.01 8.0301e0 8.0301e0
7.0e-2 0.01 8.721e0 8.721e0
8.0e-2 0.01 9.319e0 9.319e0
9.0e-2 0.01 9.8476e0 9.8476e0
1.0e-1 0.01 1.0319e1 1.0319e1
1.1e-1 0.01 1.07463e1 1.07463e1
1.2e-1 0.01 1.11362e1 1.11362e1
1.3e-1 0.01 1.14954e1 1.14954e1
1.4e-1 0.01 1.18271e1 1.18271e1
1.5e-1 0.01 1.21364e1 1.21364e1
1.6e-1 0.01 1.24255e1 1.24255e1
1.7e-1 0.01 1.26971e1 1.26971e1
1.8e-1 0.01 1.29535e1 1.29535e1
1.9e-1 0.01 1.31956e1 1.31956e1
2.0e-1 0.01 1.34254e1 1.34254e1
2.1e-1 0.01 1.36441e1 1.36441e1
2.2e-1 0.01 1.38527e1 1.38527e1
2.3e-1 0.01 1.4052e1 1.4052e1
2.4e-1 0.01 1.42427e1 1.42427e1
2.5e-1 0.01 1.44254e1 1.44254e1
2.6e-1 0.01 1.46017e1 1.46017e1
2.7e-1 0.01 1.47708e1 1.47708e1
2.8e-1 0.01 1.4934e1 1.4934e1
2.9e-1 0.01 1.5091e1 1.5091e1
3.0e-1 0.01 1.52426e1 1.52426e1
3.1e-1 0.01 1.539e1 1.539e1
3.2e-1 0.01 1.55318e1 1.55318e1
3.3e-1 0.01 1.56699e1 1.56699e1
3.4e-1 0.01 1.58035e1 1.58035e1
3.5e-1 0.01 1.59337e1 1.59337e1
3.6e-1 0.01 1.60599e1 1.60599e1
3.7e-1 0.01 1.61826e1 1.61826e1
3.8e-1 0.01 1.6302e1 1.6302e1
3.9e-1 0.01 1.64185e1 1.64185e1
4.0e-1 0.01 1.65318e1 1.65318e1
4.1e-1 0.01 1.66425e1 1.66425e1
4.2e-1 0.01 1.67506e1 1.67506e1
4.3e-1 0.01 1.68562e1 1.68562e1
4.4e-1 0.01 1.69592e1 1.69592e1
