RatioValue,SendTolerance
0.8137002494316771,1
0.716178284188329,1
0.6844125115619248,1
0.6993807421835823,1
0.6889037132538047,1
0.6284400477492638,1
0.5470488653445085,1
0.39781868795687586,1
0.1999642100193158,1
0.7570081048040557,2
0.8175542986915753,2
0.7581698187951381,2
0.7055463405830146,2
0.7434298791316588,2
0.705998891445535,2
0.6332829211710013,2
0.5109969329135313,2
0.28172106206596303,2
0.6671599290621884,3
0.770916475894313,3
0.8220472398073086,3
0.8335531132814182,3
0.7224384993821985,3
0.7447036412551883,3
0.7050452177005433,3
0.596017536394084,3
0.35430862580746486,3
0.7265935124338379,4
0.8253956501962824,4
0.7744100190903684,4
0.8328178148380325,4
0.8388978733693537,4
0.804082169828003,4
0.7595972717106911,4
0.6829986059387122,4
0.43516230035595693,4
0.7816249848948055,5
0.7348522079039015,5
0.8614482639427373,5
0.7946514045664002,5
0.9313926723277228,5
0.8457888443066816,5
0.8429178608657223,5
0.7759951038497961,5
0.5367405508429093,5
0.8331192385246441,6
0.7784663803416766,6
0.918048345484261,6
0.8805141513403631,6
0.8384255267204309,6
0.9709066049062224,6
0.9351941383316219,6
0.8846464747590307,6
0.6548823387014666,6
0.881813985723288,7
0.8391036551224788,7
0.8362784367839908,7
0.9885515653473985,7
0.9191953140140867,7
1.079413251710255,7
1.083804942614501,7
1.0283877482927282,7
0.8114855718383467,7
0.9251915818578416,8
0.8963139316276372,8
0.8747741257595405,8
1.0553128477263987,8
1.0426572659953237,8
1.0414523761497456,8
1.1783893783423127,8
1.2940271616972978,8
1.0464554706640266,8
0.9478657827793038,9
0.9270507265091077,9
0.9062300821293569,9
0.9484444720208131,9
1.1157770662522335,9
1.0763528314702369,9
1.2867669212313375,9
1.3980821652420268,9
1.278378807275338,9
0.9560678637523049,10
0.938314446580971,10
0.9192185930031026,10
0.9221036515138026,10
1.1015887995130982,10
1.0971014382839692,10
1.2273591695133192,10
1.436017989489283,10
1.4158141253396226,10
0.9431999715545063,1
0.8094665822904223,1
0.783755030745469,1
0.77227213996398,1
0.7076207272163361,1
0.5921543472650294,1
0.45225933204919866,1
0.3003567580274065,1
0.14891311985729724,1
0.981058422308485,2
0.9476377449453575,2
0.8563792810552469,2
0.8219579525629441,2
0.8213099941126238,2
0.7274563143867139,2
0.583937623221343,2
0.41316439023148555,2
0.210874225706597,2
0.6909417369084456,3
0.9953754751032361,3
0.9526576075523141,3
0.9713313941094102,3
0.8485522884257991,3
0.8223318352169652,3
0.704095943006533,3
0.5138128650635736,3
0.27697924688610576,3
0.7265188256345636,4
1.0696359908726785,4
0.996509260159428,4
0.9789270541867169,4
0.9800916122145972,4
0.9154821553506544,4
0.8082430998902608,4
0.6306408048397331,4
0.34620998904066086,4
0.7815388670974691,5
0.754091328719497,5
1.1065094126244353,5
1.0234498718471818,5
1.1189800421358373,5
0.9997467737547451,5
0.9318538118702454,5
0.7639506100543988,5
0.450583536998888,5
0.8330294848636971,6
0.8061759010584799,6
1.1896490671978521,6
1.1367717414132752,6
1.0896998551783281,6
1.1881400064521053,6
1.0735911941829834,6
0.9041688092693719,6
0.5858877410105419,6
0.8816744851932395,7
0.8389229502961957,7
0.8509054527616332,7
1.2698000729753072,7
1.2278514150209165,7
1.452221645084724,7
1.3034983127405408,7
1.0876470981299498,7
0.7662418718852779,7
0.9251336440057997,8
0.8962361368754426,8
0.903731619501746,8
1.3675739009210515,8
1.3385588981880958,8
1.384033597931164,8
1.586035450127857,8
1.4340814110543647,8
1.0057500699733277,8
0.9483566194345117,9
0.9277225907921207,9
0.939510049795088,9
0.9548803415614238,9
1.437183420306409,9
1.4421011247061888,9
1.768437501950348,9
1.7569092016103856,9
1.2455853422577583,9
0.9564500150234361,10
0.9388411501856352,10
0.9198944271163562,10
0.9472733723383528,10
1.4294661436541676,10
1.4645171603654512,10
1.667591068403923,10
1.8363895235503922,10
1.4620218454540952,10
0.7471460023705218,1
0.6625693308181918,1
0.6260854959564275,1
0.6275269242689584,1
0.5991769875054201,1
0.5243220594325771,1
0.42787823149064785,1
0.2950812849693788,1
0.1468624867155439,1
0.7047421203594545,2
0.7507661615289922,2
0.7001522483036466,2
0.642512856510716,2
0.6670916845829702,2
0.6122559021720391,2
0.5244721076511868,2
0.3929383047052948,2
0.20775519031236359,2
0.6680620477124747,3
0.7108968503534816,3
0.75508931341154,3
0.7594426031322706,3
0.6563524465560645,3
0.6644211463475526,3
0.6008752927468802,3
0.4764774233619986,3
0.2669368144431426,3
0.7268522168791113,4
0.7685337057462819,4
0.7142059372293992,4
0.7649246689121978,4
0.7636391755153175,4
0.7094684851224434,4
0.6589859008267073,4
0.55562192403709,4
0.32740314433505274,4
0.7819238487529453,5
0.7306498088218397,5
0.7950801714706158,5
0.729552730677699,5
0.8393641510173898,5
0.7668745657640889,5
0.732962295280075,5
0.6439215853203877,5
0.40917987169547565,5
0.8334673959552872,6
0.7796993691786732,6
0.8550068724586233,6
0.812550507308679,6
0.7703737900582776,6
0.8707756899315533,6
0.8192149512632816,6
0.7449475428974672,6
0.5195371645129091,6
0.8820986203744848,7
0.8401676777023838,7
0.8301592205691684,7
0.9122527427947257,7
0.8494652286864854,7
0.9426701170388839,7
0.9393034958143295,7
0.856261174789241,7
0.6554529135544481,7
0.9250773086641021,8
0.8961604974644801,8
0.874188228070024,8
0.981890329607769,8
0.9613193905526275,8
0.9441742580150175,8
1.0210816801835179,8
1.0536801650677674,8
0.8320832259589461,8
0.946705935380675,9
0.9254642140142173,9
0.905134877459743,9
0.9275836908827795,9
1.0266784787896484,9
0.9849934117311804,9
1.1044688427444902,9
1.12778043329345,9
0.9348439952753946,9
0.955146616782019,10
0.9370454284686063,10
0.9183511794886409,10
0.914294255755702,10
1.0222603172113514,10
1.0095046491655988,10
1.0739463438893602,10
1.1554870126273147,10
0.9923818004444223,10
