NormalizedUpdates,SendTolerance
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,2
1.0,2
1.0,2
1.0,2
1.0,2
1.0,2
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
1.0,4
1.0,4
1.0,4
1.0,4
1.0,4
1.0,4
1.0,5
1.0,5
1.0,5
0.9951219512195122,5
1.0,5
1.0,5
1.0,6
1.0,6
1.0,6
0.9902439024390244,6
0.9880597014925373,6
0.9698189134808853,6
1.0,7
1.0,7
0.9938650306748467,7
0.9707317073170731,7
0.7940298507462686,7
0.903420523138833,7
0.8333333333333334,8
0.9895833333333334,8
0.9877300613496932,8
0.7463414634146341,8
0.7283582089552239,8
0.778672032193159,8
0.8333333333333334,9
0.9791666666666666,9
0.901840490797546,9
0.6487804878048781,9
0.42388059701492536,9
0.5714285714285714,9
0.8333333333333334,10
0.8854166666666666,10
0.7300613496932515,10
0.5463414634146342,10
0.3582089552238806,10
0.34004024144869216,10
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.6140177690029615,1
1.0,2
1.0,2
1.0,2
1.0,2
1.0,2
0.9990128331688055,2
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
1.0,4
1.0,4
1.0,4
1.0,4
0.9967585089141004,4
1.0,4
1.0,5
1.0,5
1.0,5
1.0,5
0.9951377633711507,5
0.998025666337611,5
1.0,6
1.0,6
1.0,6
1.0,6
0.9773095623987034,6
0.9417571569595261,6
1.0,7
0.9902912621359223,7
0.9962962962962963,7
0.9242053789731052,7
0.7893030794165316,7
0.8272458045409674,7
1.0,8
0.970873786407767,8
0.9518518518518518,8
0.687041564792176,8
0.5786061588330632,8
0.6475814412635735,8
1.0,9
0.9320388349514563,9
0.7444444444444445,9
0.4889975550122249,9
0.34521880064829824,9
0.43336623889437315,9
0.8,10
0.6019417475728155,10
0.35555555555555557,10
0.24449877750611246,10
0.18152350081037277,10
0.192497532082922,10
1.0,1
1.0,1
1.0,1
1.0,1
0.7142051860202931,1
0.793016558675306,1
1.0,2
1.0,2
1.0,2
1.0,2
0.8556933483652762,2
0.7901367890568755,2
1.0,3
1.0,3
1.0,3
1.0,3
1.0,3
0.7775377969762419,3
1.0,4
1.0,4
1.0,4
1.0,4
1.0,4
0.7890568754499641,4
1.0,5
1.0,5
1.0,5
0.9981834695731153,5
0.9994363021420518,5
0.7883369330453563,5
1.0,6
1.0,6
0.9987608426270136,6
0.9918256130790191,6
0.9723788049605412,6
1.0,6
1.0,7
1.0,7
0.9925650557620818,7
0.9182561307901907,7
0.7908680947012401,7
0.8794096472282218,7
1.0,8
0.9908536585365854,8
0.9256505576208178,8
0.7020890099909174,8
0.5918827508455468,8
0.7512598992080634,8
0.9090909090909091,9
0.9054878048780488,9
0.654275092936803,9
0.4977293369663942,9
0.4131905298759865,9
0.5701943844492441,9
0.5909090909090909,10
0.5487804878048781,10
0.27261462205700127,10
0.22979109900090827,10
0.21645997745208567,10
0.2843772498200144,10
